Matrix,Values
A
0.9984051248565484,-0.23238038669467292
0.009790362563065862,0.9501407720750991
B
0.0005223442780051517
-0.0009156859906688134
C
-0.2680970148788919,-0.34429900128929936
D
0.00016868379976751123
